,uik,num_of_registered_voters_x,num_of_ballots_given_away_on_voting_day_indoors_x,num_of_ballots_given_away_on_voting_day_at_home_x,num_of_valid_ballots_x,Путин Владимир Владимирович_x,coords_x,num_of_registered_voters_y,num_of_ballots_given_away_on_voting_day_indoors_y,num_of_ballots_given_away_on_voting_day_at_home_y,num_of_valid_ballots_y,Путин Владимир Владимирович_y,Явка 2012,Поддержка 2012,Явка 2018,Поддержка 2018,Построено метро,Контрольная1,Контрольная2
0,УИК №843,1887,998,20,998,481,"(55.816252, 37.697963)",2131,1195,67,1244,937,0.539480657127716,0.4819639278557114,0.5922102299389957,0.7532154340836013,0,0,1
1,УИК №844,2113,1122,34,1134,562,"(55.816252, 37.697963)",2778,1537,72,1561,1134,0.547089446284903,0.4955908289241622,0.5791936645068394,0.726457399103139,0,0,1
2,УИК №845,311,175,9,184,102,"(55.829209, 37.681631)",2888,1651,62,1681,1238,0.5916398713826366,0.5543478260869565,0.5931440443213296,0.7364663890541344,0,0,1
3,УИК №846,1823,1002,18,996,490,"(55.816252, 37.697963)",2686,1509,44,1514,1089,0.5595172792100932,0.4919678714859438,0.5781831720029784,0.7192866578599736,0,0,1
4,УИК №847,2875,1597,44,1593,749,"(55.816788, 37.707072)",2771,1564,63,1600,1203,0.5707826086956522,0.4701820464532329,0.5871526524720317,0.751875,0,0,1
5,УИК №848,2229,1358,41,1351,604,"(55.812342, 37.702113)",2594,1456,75,1508,1129,0.6276357110812023,0.4470762398223538,0.5902081727062451,0.7486737400530504,0,0,1
6,УИК №849,2733,1606,38,1609,787,"(55.8103462035612, 37.7025767974555)",2324,1361,48,1389,1032,0.601536772777168,0.4891236793039155,0.6062822719449226,0.7429805615550756,0,0,1
7,УИК №850,2480,1447,36,1442,702,"(55.817765, 37.715794)",2382,1390,64,1427,988,0.597983870967742,0.4868238557558946,0.6104114189756508,0.6923615977575333,0,0,1
8,УИК №851,1961,1092,34,1102,557,"(55.817765, 37.715794)",2257,1260,52,1288,932,0.5741968383477818,0.5054446460980037,0.5813026140894993,0.7236024844720497,0,0,1
9,УИК №852,2759,1578,56,1597,738,"(55.817765, 37.715794)",2323,1198,54,1229,912,0.592243566509605,0.4621164683782091,0.538958243650452,0.74206672091131,0,0,1
10,УИК №853,3209,2204,53,2219,1246,"(55.816905, 37.728811)",3410,2181,56,2198,1652,0.7033343720785291,0.5615141955835962,0.6560117302052786,0.7515923566878981,1,1,0
11,УИК №854,2002,1078,26,1080,518,"(55.813592, 37.701107)",2338,1327,48,1357,994,0.5514485514485514,0.4796296296296296,0.588109495295124,0.7324981577008106,0,0,1
12,УИК №855,2440,1399,37,1401,676,"(55.81561, 37.710701)",2238,1382,51,1420,1009,0.5885245901639344,0.4825124910778016,0.6403038427167114,0.7105633802816902,0,0,1
13,УИК №856,2771,1661,66,1684,831,"(55.81561, 37.710701)",2144,1284,52,1315,958,0.6232407073258751,0.4934679334916864,0.6231343283582089,0.7285171102661597,0,0,1
14,УИК №857,2501,1397,47,1408,706,"(55.813288, 37.715623)",2670,1545,68,1595,1135,0.5773690523790483,0.5014204545454546,0.6041198501872659,0.7115987460815048,0,0,1
